trade_id,book_id,trader_id,trade_date,settle_date,asset_class,product_type,instrument_id,instrument_description,currency,notional,quantity,trade_price,direction,counterparty_id,counterparty_name,status,maturity_date,bloomberg_id,internal_ref
DEMO-026,FX-DEMO-01,DEMO-FX-TRADER-01,2023-06-03,,FX,FX_NDF,USDKRW,Synthetic USD/KRW ndf,KRW,27470191820.5,98.0,70.5596,BUY,DEMO-CP-009,Synthetic Counterparty 09,LIVE,2027-02-09,DEMO-BBG-026,DEMO-REF-0026
DEMO-027,FX-DEMO-01,DEMO-FX-TRADER-02,2023-05-17,2023-05-19,FX,FX_SPOT,USDHKD,Synthetic USD/HKD spot,HKD,169489112.2,101.0,5.7513,SELL,DEMO-CP-001,Synthetic Counterparty 01,LIVE,2027-08-08,DEMO-BBG-027,DEMO-REF-0027
DEMO-028,FX-DEMO-01,DEMO-FX-TRADER-01,2023-04-30,2023-05-02,FX,FX_FORWARD,USDJPY,Synthetic USD/JPY forward,JPY,3220363080.0,104.0,72.4464,BUY,DEMO-CP-002,Synthetic Counterparty 02,LIVE,2028-02-04,DEMO-BBG-028,DEMO-REF-0028
DEMO-029,FX-DEMO-01,DEMO-FX-TRADER-02,2023-04-13,2023-04-15,FX,FX_FORWARD,EURUSD,Synthetic EUR/USD forward,USD,22850000.0,107.0,51.5481,BUY,DEMO-CP-003,Synthetic Counterparty 03,LIVE,2028-08-02,DEMO-BBG-029,DEMO-REF-0029
DEMO-030,FX-DEMO-01,DEMO-FX-TRADER-01,2023-03-27,2023-03-29,FX,FX_FORWARD,AUDUSD,Synthetic AUD/USD forward,USD,23500000.0,110.0,97.0915,SELL,DEMO-CP-004,Synthetic Counterparty 04,LIVE,2029-01-29,DEMO-BBG-030,DEMO-REF-0030
DEMO-031,EQD-DEMO-01,DEMO-EQ-TRADER-02,2024-08-11,2024-08-13,EQUITY,EQ_OPTION,NKY-CALL-42000-2025-06,Synthetic NKY CALL 42000 2025 06 position,JPY,0.0,113.0,17910.1301,BUY,DEMO-CP-005,Synthetic Counterparty 05,LIVE,2029-07-28,DEMO-BBG-031,DEMO-REF-0031
DEMO-032,EQD-DEMO-01,DEMO-EQ-TRADER-01,2024-07-25,2024-07-27,EQUITY,EQ_OPTION,NKY-PUT-39000-2025-06,Synthetic NKY PUT 39000 2025 06 position,JPY,0.0,116.0,30408.0607,BUY,DEMO-CP-006,Synthetic Counterparty 06,LIVE,2026-02-14,DEMO-BBG-032,DEMO-REF-0032
DEMO-033,EQD-DEMO-01,DEMO-EQ-TRADER-02,2024-07-08,2024-07-10,EQUITY,EQ_OPTION,HSI-CALL-22000-2025-06,Synthetic HSI CALL 22000 2025 06 position,HKD,0.0,119.0,4759.0056,SELL,DEMO-CP-007,Synthetic Counterparty 07,LIVE,2026-08-13,DEMO-BBG-033,DEMO-REF-0033
DEMO-034,EQD-DEMO-01,DEMO-EQ-TRADER-01,2024-06-21,2024-06-23,EQUITY,EQ_FUTURE,NKY-FUT-2025-06,Synthetic NKY FUT 2025 06 position,JPY,0.0,122.0,7984.4617,BUY,DEMO-CP-008,Synthetic Counterparty 08,LIVE,2027-02-09,DEMO-BBG-034,DEMO-REF-0034
DEMO-035,EQD-DEMO-01,DEMO-EQ-TRADER-02,2024-06-04,2024-06-06,EQUITY,EQ_FUTURE,KOSPI200-FUT-2025-06,Synthetic KOSPI200 FUT 2025 06 position,KRW,0.0,125.0,668.7458,BUY,DEMO-CP-009,Synthetic Counterparty 09,LIVE,2027-08-08,DEMO-BBG-035,DEMO-REF-0035
DEMO-036,EQD-DEMO-01,DEMO-EQ-TRADER-01,2024-05-18,2024-05-20,EQUITY,EQ_OPTION,HSI-PUT-19000-2025-06,Synthetic HSI PUT 19000 2025 06 position,HKD,0.0,128.0,34506.198,SELL,DEMO-CP-001,Synthetic Counterparty 01,LIVE,2028-02-04,DEMO-BBG-036,DEMO-REF-0036
DEMO-037,EQD-DEMO-01,DEMO-EQ-TRADER-02,2024-05-01,2024-05-03,EQUITY,EQ_OPTION,NKY-CALL-41000-2025-06,Synthetic NKY CALL 41000 2025 06 position,JPY,0.0,131.0,18875.2143,BUY,DEMO-CP-002,Synthetic Counterparty 02,LIVE,2028-08-02,DEMO-BBG-037,DEMO-REF-0037
DEMO-038,EQD-DEMO-01,DEMO-EQ-TRADER-01,2024-04-14,2024-04-16,EQUITY,EQ_FUTURE,KOSPI200-FUT-2025-09,Synthetic KOSPI200 FUT 2025 09 position,KRW,0.0,134.0,22367.4436,BUY,DEMO-CP-003,Synthetic Counterparty 03,LIVE,2029-01-29,DEMO-BBG-038,DEMO-REF-0038
DEMO-039,EQD-DEMO-01,DEMO-EQ-TRADER-02,2024-03-28,2024-03-30,EQUITY,EQ_FUTURE,NKY-FUT-2025-09,Synthetic NKY FUT 2025 09 position,JPY,0.0,-137.0,31244.8955,SELL,DEMO-CP-004,Synthetic Counterparty 04,LIVE,2029-07-28,DEMO-BBG-039,DEMO-REF-0039
DEMO-040,EQD-DEMO-01,DEMO-EQ-TRADER-01,2024-03-11,2024-03-13,EQUITY,EQ_OPTION,HSI-CALL-21000-2025-09,Synthetic HSI CALL 21000 2025 09 position,HKD,0.0,140.0,19016.7605,BUY,DEMO-CP-005,Synthetic Counterparty 05,LIVE,2026-02-14,DEMO-BBG-040,DEMO-REF-0040
DEMO-007,RATES-DEMO-01,DEMO-RA-TRADER-02,2024-04-21,,RATES,GOVT_BOND,DEMO-GOVT-007,Synthetic KRW sovereign bond,KRW,11237805744.75,41.0,101.2631,BUY,DEMO-CP-008,Synthetic Counterparty 08,LIVE,2029-07-28,DEMO-BBG-007,DEMO-REF-0007
